phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,Prediction,Prediction_Label
8992445,https://web-procoinbase.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8992445,2025-02-27T23:26:39+00:00,yes,2025-02-27T23:31:46+00:00,yes,Other,0,Legit
8554345,https://www.dropbox.com/scl/fi/qyesaiwglti9vpk5ozh8f/Securely-sign-in-with-your-email-address-to-keep-you-updated..paper?rlkey=7h3kb1i41alobs1glcnvishg7&dl=0,http://www.phishtank.com/phish_detail.php?phish_id=8554345,2024-04-27T11:14:22+00:00,yes,2024-04-27T12:10:09+00:00,yes,Other,1,Phishing
8941506,https://docs.google.com/presentation/d/e/2PACX-1vQlytktC_ipGIxe_UMLFd52NyHE8odlJVBzAO98KhsniJikBB7ktXfrU-mZwcoTIoKZqtlYxJwm2xIj/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8941506,2025-01-16T23:31:06+00:00,yes,2025-01-16T23:41:54+00:00,yes,Other,1,Phishing
9011544,https://mypeachpass.com-mylk.xin/,http://www.phishtank.com/phish_detail.php?phish_id=9011544,2025-03-10T08:01:25+00:00,yes,2025-03-10T08:03:02+00:00,yes,Other,1,Phishing
8911341,https://wwi.avisos-gerente.app,http://www.phishtank.com/phish_detail.php?phish_id=8911341,2024-12-20T15:00:11+00:00,yes,2025-02-17T17:32:36+00:00,yes,Other,1,Phishing
9010419,https://weoptusnetcomauupgrade.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=9010419,2025-03-10T01:54:50+00:00,yes,2025-03-10T02:02:38+00:00,yes,Other,0,Legit
9015691,https://e-zpass.com-loe.xin/,http://www.phishtank.com/phish_detail.php?phish_id=9015691,2025-03-12T01:59:45+00:00,yes,2025-03-12T02:03:03+00:00,yes,Other,1,Phishing
8239374,https://pub-2d670b64311344f2b6abeac588b21f9a.r2.dev/linkp.html,http://www.phishtank.com/phish_detail.php?phish_id=8239374,2023-07-26T23:01:10+00:00,yes,2023-07-26T23:23:17+00:00,yes,Other,1,Phishing
8444717,https://att-service-108697.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8444717,2024-02-07T14:12:08+00:00,yes,2024-02-07T14:23:02+00:00,yes,Other,1,Phishing
8767599,https://pub-af3a949232644e4481bf70c9cf0d1d98.r2.dev/index.html,http://www.phishtank.com/phish_detail.php?phish_id=8767599,2024-09-19T19:17:29+00:00,yes,2024-09-19T19:23:06+00:00,yes,Other,1,Phishing
8721804,https://l.ead.me/bfJnIk,http://www.phishtank.com/phish_detail.php?phish_id=8721804,2024-08-19T19:26:14+00:00,yes,2024-08-19T19:33:22+00:00,yes,Other,1,Phishing
8377692,https://new.express.adobe.com/webpage/V9Z0fsLjHJk26,http://www.phishtank.com/phish_detail.php?phish_id=8377692,2023-11-28T18:53:31+00:00,yes,2023-11-28T19:04:01+00:00,yes,Other,0,Legit
8712130,https://attnetno.github.io/attnetn/,http://www.phishtank.com/phish_detail.php?phish_id=8712130,2024-08-14T14:29:25+00:00,yes,2024-08-14T14:53:17+00:00,yes,Other,1,Phishing
8697195,https://www.dropbox.com/scl/fi/jc24qf03trmpry3v4mwz4/BT-MAILBOX-NOTIFICATION.papert?rlkey=o4lsv1oy71nca7wxhjplq8unv&dl=0,http://www.phishtank.com/phish_detail.php?phish_id=8697195,2024-08-06T08:21:45+00:00,yes,2024-08-06T08:33:51+00:00,yes,Other,1,Phishing
9022805,https://geminiloginmc.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=9022805,2025-03-16T14:55:32+00:00,yes,2025-03-16T15:02:57+00:00,yes,Other,1,Phishing
8843996,https://urlz.fr/t0fW,http://www.phishtank.com/phish_detail.php?phish_id=8843996,2024-11-10T15:31:54+00:00,yes,2024-11-10T15:41:55+00:00,yes,Other,1,Phishing
8386408,https://finablkaredig.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=8386408,2023-12-07T22:21:12+00:00,yes,2023-12-07T22:23:18+00:00,yes,Other,0,Legit
9022899,https://auth-uphold.webflow.io,http://www.phishtank.com/phish_detail.php?phish_id=9022899,2025-03-16T15:17:41+00:00,yes,2025-03-16T15:22:27+00:00,yes,Other,1,Phishing
9015860,https://e-zpass.com-roadetci.xin/,http://www.phishtank.com/phish_detail.php?phish_id=9015860,2025-03-12T02:34:15+00:00,yes,2025-03-12T02:42:17+00:00,yes,Other,1,Phishing
8718949,https://q-r.to/bfJYlF,http://www.phishtank.com/phish_detail.php?phish_id=8718949,2024-08-17T18:19:57+00:00,yes,2024-08-17T18:33:05+00:00,yes,Other,1,Phishing
9012357,https://com-ticketusd.cfd/,http://www.phishtank.com/phish_detail.php?phish_id=9012357,2025-03-10T10:25:34+00:00,yes,2025-03-10T10:41:58+00:00,yes,Other,1,Phishing
8519730,https://www.miricanvas.com/v/130cns4,http://www.phishtank.com/phish_detail.php?phish_id=8519730,2024-04-03T19:44:49+00:00,yes,2024-04-03T22:34:06+00:00,yes,Other,1,Phishing
8971266,https://help-support-ledgor-live-app.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8971266,2025-02-11T15:29:44+00:00,yes,2025-02-11T15:32:36+00:00,yes,Other,1,Phishing
7337452,https://sgtbalde991-dot-still-dynamics-321006.ue.r.appspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=7337452,2021-11-03T04:55:32+00:00,yes,2021-11-03T05:28:43+00:00,yes,Other,1,Phishing
8855911,https://instagram-reel-meta.github.io/Instagram/,http://www.phishtank.com/phish_detail.php?phish_id=8855911,2024-11-16T23:06:02+00:00,yes,2024-11-16T23:12:38+00:00,yes,Other,1,Phishing
8793641,https://qrco.de/i2u3hbelkdgdmafgd,http://www.phishtank.com/phish_detail.php?phish_id=8793641,2024-10-04T18:19:51+00:00,yes,2024-10-04T18:23:18+00:00,yes,Other,1,Phishing
8560084,http://tinyurl.com/yo6zgmjx/?hash=m3u0v0@m3u0v0.com.br,http://www.phishtank.com/phish_detail.php?phish_id=8560084,2024-05-02T01:29:25+00:00,yes,2024-05-02T01:33:37+00:00,yes,Adobe,1,Phishing
7402066,http://im-creator.com/free/iuhj/kay,http://www.phishtank.com/phish_detail.php?phish_id=7402066,2022-01-04T06:20:01+00:00,yes,2022-01-23T21:40:57+00:00,yes,Other,1,Phishing
8595202,https://pub-5a0a61d5d8fc4f07b89562af960e071d.r2.dev/owambe.html,http://www.phishtank.com/phish_detail.php?phish_id=8595202,2024-06-01T17:42:57+00:00,yes,2024-06-01T17:53:24+00:00,yes,Other,1,Phishing
8295315,https://new.express.adobe.com/webpage/y2ISnrYWZgJmw,http://www.phishtank.com/phish_detail.php?phish_id=8295315,2023-09-12T13:06:07+00:00,yes,2023-09-12T14:43:09+00:00,yes,Other,0,Legit
9018722,https://e-zpass.org-zel.xin/,http://www.phishtank.com/phish_detail.php?phish_id=9018722,2025-03-12T12:37:21+00:00,yes,2025-03-12T12:52:29+00:00,yes,Other,1,Phishing
8946240,https://bit.ly/4fTC4IH,http://www.phishtank.com/phish_detail.php?phish_id=8946240,2025-01-21T21:23:01+00:00,yes,2025-01-21T21:31:59+00:00,yes,Other,1,Phishing
8807719,https://l.ead.me/bfTlU2,http://www.phishtank.com/phish_detail.php?phish_id=8807719,2024-10-14T21:32:21+00:00,yes,2024-10-14T21:53:02+00:00,yes,Other,1,Phishing
8685400,https://t.co/52gwtXenJO,http://www.phishtank.com/phish_detail.php?phish_id=8685400,2024-07-30T06:56:09+00:00,yes,2024-07-30T07:04:30+00:00,yes,Other,1,Phishing
8166977,https://onedocx-review.myportfolio.com/,http://www.phishtank.com/phish_detail.php?phish_id=8166977,2023-06-07T02:32:25+00:00,yes,2023-06-07T02:42:45+00:00,yes,Other,0,Legit
8554970,https://docs.google.com/presentation/d/e/2PACX-1vR2UfZjSe-kdKxL0hEYvep64tXkcX9KgrEKrGj-igKAAGg8FJNugGG1qibpbKaWwEYJ-0XwM9NzN_O9/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8554970,2024-04-28T01:21:03+00:00,yes,2024-04-28T01:23:13+00:00,yes,Other,1,Phishing
8440270,https://jemi.so/az977,http://www.phishtank.com/phish_detail.php?phish_id=8440270,2024-02-03T15:34:11+00:00,yes,2024-02-10T15:02:44+00:00,yes,Other,1,Phishing
9016797,https://paytolllmesc.vip/,http://www.phishtank.com/phish_detail.php?phish_id=9016797,2025-03-12T05:47:57+00:00,yes,2025-03-12T05:52:13+00:00,yes,Other,0,Legit
8838691,https://atmailupdateformeupdaterltdfdinfomailacct.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=8838691,2024-11-07T15:20:06+00:00,yes,2024-11-07T15:22:15+00:00,yes,Other,0,Legit
8417924,https://enquete-uphf.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=8417924,2024-01-11T15:33:21+00:00,yes,2024-01-11T15:52:42+00:00,yes,Other,1,Phishing
